entry_dt,entry_px,sl,tp1,kind,exit_dt,exit_px,reason,pnl_pct,tp1_hit,tp1_dt,tp1_px
2025-08-17 04:00,117684.96,115208.27624973247,120161.64375026754,fresh regime,2025-08-18 00:00,117405.01,regime off,-0.31767459767024775,False,,
2025-09-13 04:00,115957.0,113707.94300921125,118206.05699078875,fresh regime,2025-09-22 04:00,113707.94300921125,initial stop,-2.0179938700770506,False,,
2025-09-23 08:00,113090.13,110858.87952212954,115321.38047787047,fresh regime,2025-09-23 16:00,112882.2,regime off,-0.26369913877364315,False,,
2025-09-24 12:00,113029.45,110688.84941050163,115370.05058949837,fresh regime,2025-09-25 04:00,112546.22,regime off,-0.5071677944153308,False,,
2025-10-02 04:00,118733.99,116087.80194699619,121380.17805300382,fresh regime,2025-10-07 12:00,121592.30838436379,breakeven/trail stop,2.2361614074518643,True,2025-10-03 12:00:00+00:00,121380.17805300382
2025-10-08 12:00,122884.14,119600.79596732455,126167.48403267545,pullback resume,2025-10-10 12:00,119600.79596732455,initial stop,-2.749749099698251,False,,
2026-01-05 20:00,94303.4,92122.3299583456,96484.4700416544,fresh regime,2026-01-06 16:00,92122.3299583456,initial stop,-2.3909563876257534,False,,
2026-01-07 00:00,93747.97,91143.19643727086,96352.74356272914,pullback resume,2026-01-07 12:00,92087.21,month breaker,-1.850082763441585,False,,
2026-03-16 16:00,73274.75,70688.8782793262,75860.6217206738,fresh regime,2026-03-18 08:00,73274.75,breakeven/trail stop,1.6831086322073752,True,2026-03-17 00:00:00+00:00,75860.6217206738
2026-03-22 04:00,69340.0,66855.81369483333,71824.18630516667,fresh regime,2026-03-22 08:00,68919.37,regime off,-0.6861183572264395,False,,
2026-04-10 00:00,71787.98,69165.84468044175,74410.11531955824,fresh regime,2026-04-19 16:00,74862.20292074847,breakeven/trail stop,3.884330126913582,True,2026-04-13 20:00:00+00:00,74410.11531955824
2026-04-20 16:00,75716.78,73318.01382875576,78115.54617124423,pullback resume,2026-04-27 12:00,76855.50981009328,breakeven/trail stop,2.2541528654027365,True,2026-04-22 04:00:00+00:00,78115.54617124423
2026-04-29 12:00,77590.04,75701.61273714059,79478.4672628594,pullback resume,2026-04-29 16:00,75701.61273714059,initial stop,-2.5118899807128114,False,,
2026-05-01 04:00,77131.08,75169.52784423373,79092.63215576627,pullback resume,2026-05-08 00:00,79284.8484563267,breakeven/trail stop,2.585626940527863,True,2026-05-02 20:00:00+00:00,79092.63215576627
2026-05-09 04:00,80383.96,78393.1481547116,82374.77184528841,pullback resume,2026-05-12 12:00,80383.96,breakeven/trail stop,1.157339661550183,True,2026-05-10 20:00:00+00:00,82374.77184528841
2026-05-13 04:00,81249.99,79384.8936676951,83115.08633230491,pullback resume,2026-05-13 12:00,79384.8936676951,initial stop,-2.373651425256884,False,,
2026-05-14 16:00,81301.22,79056.22306272207,83546.21693727793,pullback resume,2026-05-15 12:00,79056.22306272207,initial stop,-2.8391077855073,False,,
2026-05-17 08:00,78180.0,76471.21871337638,79888.78128662362,fresh regime,2026-05-17 16:00,78051.42,regime off,-0.24431906852494523,False,,
2026-05-17 20:00,78415.29,76734.52876213116,80096.05123786883,fresh regime,2026-05-18 00:00,77457.67,regime off,-1.300223136039902,False,,
